"no","Word","Sub_Type","Type2","Type3","wildcard","wildsort","Source_Politician","Low_Precision","Low_Recall","Other_Reason","Old_Term","Include","Comment","sort","multiword","duplicate","real_duplicate","added","regex_matches","regex_lookuptime","regex_sort","word_copy","popu_list","ches2014_antielite_std","ches2017_antielite_std","ches2017_peopleelite_std","ches2017_pop_std","cses5_pop_std","mean_cor"
1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) bürger(s|innen|in)?","sorgen der menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"aängstedesreinesrunseresrbürgersinnenin",TRUE,FALSE,FALSE,2019-04-11,11,1.77,1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) bürger(s|innen|in)?",0.60,"NA",0.85,0.63,0.80,0.84,0.82
2,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) deutschen","sorgen der menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"aängstedesreinesrunseresrdeutschen",TRUE,FALSE,FALSE,2019-04-11,5,1.71,1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) deutschen",0.66,"NA","NA","NA","NA","NA","#DIV/0!"
3,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) österreicher(s|innen|in)?","sorgen der menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,,"aängstedesreinesrunseresrösterreichersinnenin",TRUE,FALSE,FALSE,2019-04-11,0,1.76,1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) österreicher(s|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
4,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) schweizer(s|innen|in)?","sorgen der menschen","advocative","people-centrism","regex",1,0,0,0,0,0,1,"never appeared term","aängstedesreinesrunseresrschweizersinnenin",TRUE,FALSE,FALSE,2019-04-11,0,1.77,1,"(a|ä)ngst(e)? (de(s|r)|eine(s|r)|unsere(s|r)) schweizer(s|innen|in)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
5,"aberwitz(ig(e|er|es|en|em)?)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"aberwitzigeeresenem",FALSE,FALSE,FALSE,2019-04-08,53,1.51,1,"aberwitz(ig(e|er|es|en|em)?)?",0.87,0.38,0.85,0.63,0.80,0.65,0.61
6,"abgehoben(e|er|es|en|em)?","abgehobene, dreiste eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"abgehobeneeresenem",FALSE,FALSE,FALSE,2019-04-11,140,1.49,1,"abgehoben(e|er|es|en|em)?",0.84,0.38,0.85,0.64,0.81,0.27,0.49
7,"alt(-)?partei(en)?","zzz_none","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"altparteien",FALSE,FALSE,FALSE,2019-04-08,596,1.50,1,"alt(-)?partei(en)?",0.44,0.39,0.85,0.63,0.80,0.70,0.63
8,"angeblich(e|er|en|em)? (.* )?journalist(en|in|innen)?","pseudo-eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"angeblicheerenemjournalistenininnen",TRUE,FALSE,FALSE,2019-04-11,1,1.51,1,"angeblich(e|er|en|em)? (.* )?journalist(en|in|innen)?","NA","NA","NA","NA","NA","NA","#DIV/0!"
9,"angeblich(e|er|en)? (.*)medien","pseudo-eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"angeblicheerenmedien",TRUE,FALSE,FALSE,2019-04-11,6,1.51,1,"angeblich(e|er|en)? (.*)medien",0.57,"NA",0.94,0.75,0.92,0.69,0.81
10,"angeblich(e|er|en)? (.*)partei(en)?","pseudo-eliten","conflictive","anti-elitism","regex",1,0,0,0,0,0,1,,"angeblicheerenparteien",TRUE,FALSE,FALSE,2019-04-11,34,1.50,1,"angeblich(e|er|en)? (.*)partei(en)?",0.48,0.31,0.85,0.63,0.80,0.84,0.65
